Index,Time,(((supercap).sampler_).iRefree_).adc_val_
8073,8.073002,459.305725
8074,8.073983,459.228485
8075,8.074991,459.040283
8076,8.075985,458.906342
8077,8.076979,458.797943
8078,8.077989,459.571167
8079,8.078984,459.826233
8080,8.079991,459.201935
8081,8.080986,459.899506
8082,8.081979,460.040344
8083,8.082986,459.305206
8084,8.084002,459.694061
8085,8.084983,459.644623
8086,8.085991,458.71579
8087,8.086984,459.148254
8088,8.087982,459.594086
8089,8.088989,459.515015
8090,8.089984,459.921295
8091,8.090990,460.054321
8092,8.091983,459.939575
8093,8.092990,460.550842
8094,8.093985,459.595703
8095,8.095002,459.661469
8096,8.096005,460.275848
8097,8.096986,459.974701
8098,8.097985,459.423767
8099,8.098992,459.650146
8100,8.099987,459.860687
8101,8.100980,459.59021
8102,8.101987,459.26535
8103,8.102982,459.594818
8104,8.103989,459.714996
8105,8.105021,459.47583
8106,8.105991,459.508759
8107,8.106985,459.664062
8108,8.107981,459.595337
8109,8.108987,459.86615
8110,8.109980,459.721161
8111,8.110986,459.639618
8112,8.111981,459.642792
8113,8.112987,459.513031
8114,8.113981,459.483643
8115,8.114987,459.725128
8116,8.116004,459.430023
8117,8.116985,459.10434
8118,8.117983,460.047424
8119,8.118988,460.340851
8120,8.119981,459.101105
8121,8.120988,458.965515
8122,8.121983,459.236084
8123,8.122989,459.299774
8124,8.123983,459.473877
8125,8.124989,459.822144
8126,8.125983,458.775726
8127,8.127003,459.901276
8128,8.127987,460.244446
8129,8.128981,459.028778
8130,8.129986,459.75824
8131,8.130980,459.550568
8132,8.131987,459.094666
8133,8.132981,459.19223
8134,8.133987,458.872406
8135,8.134980,458.946014
8136,8.135987,459.037323
8137,8.137006,459.086151
8138,8.137990,458.096802
8139,8.138984,458.774384
8140,8.139989,458.626129
8141,8.140985,459.144806
8142,8.141979,459.259369
8143,8.142986,460.240051
8144,8.143979,459.685822
8145,8.144986,458.413849
8146,8.145980,458.688965
8147,8.146987,459.645386
8148,8.148003,459.191223
8149,8.148984,459.583923
8150,8.149980,459.180176
8151,8.150987,458.584747
8152,8.151982,459.268799
8153,8.153002,459.406097
8154,8.153983,459.287506
8155,8.154991,459.480225
8156,8.155986,458.943481
8157,8.156980,459.40918
8158,8.157997,459.353302
8159,8.158991,458.76123
8160,8.159986,459.15979
8161,8.160980,460.004486
8162,8.161986,459.56723
8163,8.162980,458.879517
8164,8.163987,460.059296
8165,8.164982,459.187073
8166,8.165990,458.915131
8167,8.166984,458.737366
8168,8.167981,459.441803
8169,8.168999,459.083679
8170,8.169980,458.969086
8171,8.170988,459.84726
8172,8.171981,459.248444
8173,8.172985,459.599213
8174,8.173981,459.464935
8175,8.174988,459.046692
8176,8.175982,459.140747
8177,8.176987,458.866241
8178,8.177983,459.733429
8179,8.179011,459.30484
8180,8.179980,459.118652
8181,8.180986,459.975739
8182,8.181979,459.403778
8183,8.182986,459.553986
8184,8.183980,459.38797
8185,8.184986,459.887512
8186,8.185980,459.12323
8187,8.186986,459.295837
8188,8.187982,458.812927
8189,8.188989,459.447296
8190,8.190003,459.130951
8191,8.190985,459.188629
8192,8.191979,459.534637
8193,8.192985,458.993774
8194,8.193992,459.19635
8195,8.194985,459.090424
8196,8.195978,459.743469
8197,8.196984,459.214203
8198,8.197983,459.258148
8199,8.198989,459.265717
8200,8.200074,459.506805
8201,8.200979,459.443634
8202,8.201986,459.50943
8203,8.202980,459.148315
8204,8.203987,459.779053
8205,8.204980,458.821045
8206,8.205988,459.419861
8207,8.206981,459.023712
8208,8.208005,459.986176
8209,8.208986,459.661255
8210,8.209981,459.989044
8211,8.210998,459.615265
8212,8.211980,459.21463
8213,8.212987,460.016632
8214,8.213982,460.124207
8215,8.214988,459.28653
8216,8.215982,458.062439
8217,8.216989,459.337555
8218,8.217987,458.085266
8219,8.218981,459.395508
8220,8.219988,459.25119
8221,8.221080,459.06601
8222,8.221988,459.409241
8223,8.222983,459.162445
8224,8.223989,458.859253
8225,8.224984,458.813873
8226,8.225991,459.051544
8227,8.226985,458.968262
8228,8.227982,458.643494
8229,8.228988,460.416626
8230,8.229982,459.337891
8231,8.230988,458.850372
8232,8.231995,458.719208
8233,8.232991,458.624359
8234,8.233986,460.253906
8235,8.234980,459.585907
